text,label
"This is officer Sharma from the Cyber Crime Department Mumbai. We have registered a case against your Aadhaar number.",1
"Sir aapka Aadhaar number ek money laundering case mein involve hai. Aapko abhi cooperate karna hoga.",1
"You are under digital arrest. Do not move from your location until our officers arrive.",1
"This is CBI headquarters. We have frozen your bank account due to suspicious transactions.",1
"Madam your phone number has been used to send illegal content. You will be arrested within 2 hours.",1
"Sir please don't tell anyone about this call. This is a confidential government investigation.",1
"Transfer Rs 50000 to this account immediately or we will issue a non-bailable warrant.",1
"Yeh call record ho rahi hai. Aap agar cooperate nahi kiya toh aapko jail bheja jayega.",1
"Your PAN card has been linked to a fraud case. You must verify your identity immediately.",1
"We are from TRAI. Your SIM card will be blocked in 30 minutes due to illegal usage.",1
"This is the Enforcement Directorate. We have evidence of tax evasion against your name.",1
"Sir aapke naam pe 4 FIR darj hain. Abhi agar bail chahiye toh 1 lakh deposit karo.",1
"Do not disconnect this call. You are being monitored by the cyber crime division.",1
"Your Aadhaar has been used to open 12 fake accounts. This is a serious offence.",1
"Madam you have 24 hours to transfer the verification amount or face arrest.",1
"Hum Supreme Court ke order pe call kar rahe hain. Aapka account suspend ho gaya hai.",1
"Sir we found drugs shipment linked to your address. Pay the clearance fee now.",1
"This is officer Verma from the Anti-Terrorism Squad. You are a suspect in our ongoing case.",1
"Your KYC is expired and your account will be permanently blocked. Pay Rs 999 to renew.",1
"Aap abhi ghar pe hi rahein. Hamara officer aapko arrest karne aayega agar aapne transfer nahi kiya.",1
"We have video evidence of your involvement in cybercrime. Settle this case by paying penalty.",1
"Sir aapki beti ne online fraud kiya hai. Usse bachane ke liye abhi paise transfer karo.",1
"This is RBI officer. Your UPI is being misused. Share your OTP to secure your account.",1
"You have been flagged by INTERPOL for cross-border financial crimes.",1
"Madam aapka passport illegal activities mein use hua hai. Aapko court mein appear karna hoga.",1
"Do not call police. If you contact anyone you will be charged with obstruction of justice.",1
"Sir hamara drone aapke ghar ke upar hai. Aap monitored hain. Cooperate karo.",1
"Your Aadhaar biometric has been cloned. Pay Rs 5000 immediately for deactivation.",1
"We are calling from the Income Tax Department. You owe Rs 2 lakh in unpaid taxes.",1
"Aapka naam ek drug trafficking network mein aa gaya hai. Abhi settlement karo.",1
"This call is being recorded by the National Cyber Crime Reporting Portal.",1
"Sir your mobile number was used to make threats to a government official. Explain yourself.",1
"Aapka bank account hum freeze kar rahe hain jab tak aap Rs 30000 deposit nahi karte.",1
"You must stay on this video call or we will assume you are absconding.",1
"Madam aapke account se 15 lakh ka illegal transaction hua hai pichle raat.",1
"This is officer from CBI financial crimes wing. Your name appears in a shell company.",1
"Sir apna ATM card number share karo verification ke liye warna account band ho jayega.",1
"We have issued a look-out notice against you. You cannot travel until this is resolved.",1
"Aapke phone se child abuse content share hua hai. Yeh non-bailable offence hai.",1
"Transfer the amount to our safe account. Once cleared you will get a clean chit.",1
"This is the last warning from the cyber cell. Pay or face arrest tonight.",1
"Sir aapke naam pe loan liya gaya hai fraudulently. Aapko abhi verify karna hoga.",1
"Hamara senior officer aapse personally baat karna chahta hai. Hold karein.",1
"Your number has received 47 complaints. Court has ordered us to take immediate action.",1
"Madam yeh ek sealed case hai. Kisi ko bhi mat batao warna contempt of court hoga.",1
"We have frozen your PAN card. Pay Rs 8000 for re-activation immediately.",1
"Sir aap ek international fraud ring ke suspect hain. Abhi cooperate karo.",1
"I am DCP Mehta. This is your last chance to resolve this before we come to your house.",1
"Aapka Aadhaar se linked number blacklisted ho gaya hai. Turant verify karo.",1
"You are being placed under digital surveillance. Do not try to escape.",1
"This is officer Rajan from Mumbai Cyber Crime Cell. Your IP address has been flagged for illegal downloads.",1
"Sir we have intercepted a parcel in your name containing 200 grams of cocaine at IGI Airport.",1
"Aapka naam ek Ponzi scheme mein hai. Court ne aapki sampatti freeze karne ka order diya hai.",1
"You must not leave your home. Our team is on the way to take your statement.",1
"Madam your daughter's phone was used to circulate obscene content. She will be arrested.",1
"Sir we are from the Financial Intelligence Unit. Your account shows hawala transactions.",1
