conversation_id,speaker,turn,text,label
C001,attacker,1,This is officer Sharma from the Cyber Crime Department. We have registered a case against your Aadhaar number.,1
C001,victim,2,What? Who is this? I don't understand.,1
C001,attacker,3,"Sir, your number has been used in a money laundering case. You must cooperate immediately or face arrest.",1
C001,victim,4,"Please, I haven't done anything wrong. What do I need to do?",1
C001,attacker,5,You need to transfer Rs 50000 to our secure account for verification. This is a court order.,1
C001,victim,6,"Okay okay, I will do it. Please don't arrest me. I'm transferring now.",1
C001,attacker,7,Do not tell anyone about this call. This is a confidential investigation.,1
C001,victim,8,"Yes sir, I won't tell anyone. I'm doing the transfer right now.",1
C002,attacker,1,Hum CBI se bol rahe hain. Aapka naam ek hawala case mein aaya hai.,1
C002,victim,2,CBI? Main toh kuch nahi jaanta is baare mein.,1
C002,attacker,3,"Sir, aapko abhi cooperate karna hoga warna hum aapke ghar raid karenge.",1
C002,victim,4,"Please nahi, meri family hai ghar pe. Main kya karun?",1
C002,attacker,5,Abhi Rs 1 lakh transfer karo hamare account mein. Yeh bail amount hai.,1
C002,victim,6,"Theek hai, transfer kar deta hoon. Mujhe arrest mat karo.",1
C002,attacker,7,Aapka account number aur OTP bhi share karo verification ke liye.,1
C002,victim,8,"Haan, mera account number hai 12345678. OTP aaya hai 987654.",1
C003,attacker,1,This is TRAI officer. Your SIM card is being used for illegal activities.,1
C003,victim,2,I don't know what you're talking about.,1
C003,attacker,3,We have evidence. You have 2 hours to pay the penalty or your number will be blocked permanently.,1
C003,victim,4,"Okay okay, how much do I need to pay?",1
C003,attacker,5,Rs 5000 processing fee to our government account immediately.,1
C003,victim,6,Fine I'll pay. Give me the account number.,1
C003,attacker,7,Transfer via UPI to fraud.collect@bank and share the screenshot.,1
C003,victim,8,"Done, I sent the money. Please don't block my number.",1
C004,attacker,1,"Madam, aapke naam pe ek FIR darj hui hai cyber crime mein.",1
C004,victim,2,FIR? Maine kya kiya hai?,1
C004,attacker,3,Aapka Aadhaar number ek fraud network mein use hua hai. Abhi court order hai.,1
C004,victim,4,Main toh kuch nahi jaanti. Please help karo.,1
C004,attacker,5,Aapko Rs 25000 security deposit dena hoga case close karne ke liye.,1
C004,victim,6,Okay kar deti hoon. Aap sahi keh rahe hain. Main trust karti hoon aap pe.,1
C004,attacker,7,Aur kisi ko mat batana. Contempt of court hoga.,1
C004,victim,8,Nahi bataungi. Thank you for telling me about this.,1
C005,attacker,1,Sir this is the Enforcement Directorate. Your account shows suspicious transactions.,1
C005,victim,2,I have done nothing illegal. All my transactions are legitimate.,1
C005,attacker,3,We have the bank records sir. You need to cooperate. This is your last warning.,1
C005,victim,4,What exactly do you need from me?,1
C005,attacker,5,Transfer the amount to our safe account and your name will be removed from the case.,1
C005,victim,6,Okay I understand. I'll cooperate. How much should I transfer?,1
C005,attacker,7,Rs 75000. And share your net banking password for verification.,1
C005,victim,8,My password is Bank@1234. I'm trusting you. Please close this case.,1
C006,attacker,1,"Hello sir, this is officer Verma from the cyber cell. Your IP address was used in a crime.",1
C006,victim,2,That's impossible. I am a law-abiding citizen.,1
C006,attacker,3,Sir we have the logs. A warrant has been issued. You must pay the bail amount immediately.,1
C006,victim,4,How much is the bail? This is very sudden.,1
C006,attacker,5,Rs 30000 to this account. Within 60 minutes or we issue a non-bailable warrant.,1
C006,victim,6,I'm scared. Okay I'll pay. Sending now.,1
C006,attacker,7,Also confirm your Aadhaar number and date of birth for our records.,1
C006,victim,8,My Aadhaar is 1234 5678 9012 and DOB is 15 March 1980. Please help me.,1
C007,attacker,1,Aapka PAN card ek money laundering ring mein use hua hai.,1
C007,victim,2,Yeh kaise ho sakta hai? Main toh apna PAN sirf legitimate kamon ke liye use karta hoon.,1
C007,attacker,3,Sir records hamare paas hain. Abhi agar cooperate nahi kiya toh aapko arrested kiya jayega.,1
C007,victim,4,Main darr gaya hoon. Kya karun main?,1
C007,attacker,5,Rs 40000 transfer karo abhi. Hum case close kar denge.,1
C007,victim,6,Theek hai kar deta hoon. Mujhe aur kya karna hai?,1
C007,attacker,7,Apna ATM pin bhi share karo verification ke liye.,1
C007,victim,8,Pin hai 4567. Please mujhe is case se bahar nikalo.,1
C008,attacker,1,This is the Income Tax Department. You owe Rs 2 lakh in unpaid taxes.,1
C008,victim,2,That can't be right. I file my taxes regularly.,1
C008,attacker,3,Sir our records show discrepancy. If you don't pay now there will be a raid at your premises.,1
C008,victim,4,Please don't raid. What can I do to resolve this?,1
C008,attacker,5,Pay the outstanding amount immediately to avoid arrest and property seizure.,1
C008,victim,6,Okay I'll pay. How do I pay? Tell me what to do.,1
C008,attacker,7,Transfer to this account and share your bank card details for confirmation.,1
C008,victim,8,"My card number is 4532 1234 5678 9012, CVV 456. Please close this matter.",1
C009,attacker,1,Sir aap ek international drug trafficking case ke suspect hain.,1
C009,victim,2,Yeh bilkul galat hai. Main kisi bhi illegal activity mein involved nahi hoon.,1
C009,attacker,3,Sir hum jaante hain aap innocent lagte hain lekin records aapke khilaf hain.,1
C009,victim,4,Main kya kar sakta hoon is case mein?,1
C009,attacker,5,"Ek settlement amount pay karo Rs 60000, case band ho jayega.",1
C009,victim,6,Theek hai bhai. Main pay karna chahta hoon. Batao kaise.,1
C009,attacker,7,UPI pe bhejo aur apna location bhi share karo.,1
C009,victim,8,Bhej raha hoon. Meri location hai Andheri Mumbai. Please mujhe bachao.,1
C010,attacker,1,Madam we are from RBI. Your account has been flagged for suspicious activity.,1
C010,victim,2,I only use my account for salary and regular expenses.,1
C010,attacker,3,Madam the system has flagged it. We need to do an immediate verification call.,1
C010,victim,4,Okay what do I need to share with you?,1
C010,attacker,5,"Your account number, OTP and the linked mobile number.",1
C010,victim,6,"My account is 9876543210, mobile 9876543210, OTP just came is 123456.",1
C010,attacker,7,Thank you madam. One more thing — your net banking credentials.,1
